period,clock,las_score,con_score,description,team,event,x_loc,y_loc,field_goal_type,shot_made,assisted,shooting_foul,distance_from_hoop
3,05:14,40,55,[LAS] Ogwumike Driving Layup Shot: Missed Block: Jones (4 BLK),las,field_goal_attempt,60,15,two_pointer,1,0,0,6.18465843842649
3,04:52,40,57,[CON 57-40] Thomas Driving Layup Shot: Made (11 PTS),con,field_goal_attempt,53,3,two_pointer,0,1,0,5.308483775994799
3,04:34,43,57,[LAS 43-57] Mabrey 3pt Shot: Made (11 PTS) Assist: Wiese (4 AST),las,field_goal_attempt,174,168,three_pointer,0,1,0,24.186773244895647
3,04:19,43,59,[CON 59-43] Stricklen Cutting Layup Shot: Made (10 PTS) Assist: Jones (2 AST),con,field_goal_attempt,25,15,two_pointer,0,1,0,2.9154759474226504
3,04:11,43,59,[LAS] Mabrey 3pt Shot: Missed,las,field_goal_attempt,-192,206,three_pointer,1,0,0,28.160255680657446
3,03:57,43,61,[CON 61-43] Jones Cutting Layup Shot: Made (15 PTS) Assist: Thomas (6 AST),con,field_goal_attempt,29,15,two_pointer,0,1,0,3.2649655434629015
3,03:57,43,61,[LAS] Wiese Foul: Shooting (1 PF) (1 FTA),las,foul,29,15,NA,0,0,1,3.2649655434629015
3,03:44,43,62,[CON] Stricklen Foul: Personal (4 PF),con,foul,108,67,NA,0,0,0,12.70944530654269
3,03:33,43,62,[LAS] Gray Turnover : Bad Pass (2 TO) Steal:Thomas (3 ST),las,turnover,-64,92,NA,0,0,0,11.20714058089752
3,03:28,43,62,[CON] Williams Cutting Layup Shot: Missed,con,field_goal_attempt,-48,36,two_pointer,1,0,0,6
3,03:22,43,64,[CON 64-43] Jones Putback Layup Shot: Made (18 PTS),con,field_goal_attempt,0,-5,two_pointer,0,1,0,0.5
3,03:16,46,64,[LAS 46-64] Mabrey 3pt Shot: Made (14 PTS) Assist: Ogwumike (1 AST),las,field_goal_attempt,-193,161,three_pointer,0,1,0,25.13364279208249
3,03:03,46,64,[CON] Thomas Turnover : Out of Bounds Lost Ball Turnover (3 TO),con,turnover,12,40,NA,0,0,0,4.17612260356422
3,02:49,46,64,[LAS] Wiese 3pt Shot: Missed,las,field_goal_attempt,170,177,three_pointer,1,0,0,24.541597340026584
3,02:47,48,64,[LAS 48-64] Ogwumike Putback Layup Shot: Made (9 PTS),las,field_goal_attempt,0,-5,two_pointer,0,1,0,0.5
3,02:29,48,64,[CON] Thomas Turnover : Bad Pass (4 TO) Steal:Ogwumike (2 ST),con,turnover,-155,198,NA,0,0,0,25.14537730876194
3,02:25,50,64,[LAS 50-64] Ogwumike Running Layup Shot: Made (10 PTS),las,field_goal_attempt,-32,5,two_pointer,0,1,0,3.23882694814033
3,02:05,50,64,[LAS] Wiese Foul: Shooting (2 PF) (2 FTA),las,foul,-13,161,NA,0,0,1,16.152399202595262
3,02:01,50,65,[CON] Williams Layup Shot: Missed,con,field_goal_attempt,40,44,two_pointer,1,0,0,5.946427498927402
3,01:50,50,65,[CON] Clarendon Jump Shot: Missed,con,field_goal_attempt,111,97,two_pointer,1,0,0,14.741099009232656
3,01:46,50,65,[CON] Tuck 3pt Shot: Missed,con,field_goal_attempt,-182,172,three_pointer,1,0,0,25.04156544627352
3,01:44,50,65,[CON] Jones Foul: Loose Ball (2 PF) (2 FTA),con,foul,32,762,NA,0,0,0,76.26716200305346
3,01:30,52,65,[CON] Williams Jump Shot: Missed,con,field_goal_attempt,-2,146,two_pointer,1,0,0,14.601369798755183
3,01:24,52,65,[CON] Thomas Turnover : Bad Pass (5 TO) Steal:Brown (1 ST),con,turnover,140,-32,NA,0,0,0,14.361058456812994
3,01:18,52,65,[LAS] Gray Turnover : Out of Bounds Lost Ball Turnover (3 TO),las,turnover,-225,64,NA,0,0,0,23.392520172055
3,00:56.0,52,65,[CON] Tuck Turnover : Out of Bounds - Bad Pass Turnover (1 TO),con,turnover,-48,52,NA,0,0,0,7.076722405181653
3,00:39.3,52,65,[LAS] Walker 3pt Shot: Missed,las,field_goal_attempt,-232,7,three_pointer,1,0,0,23.21055794245369
3,00:29.8,52,65,[CON] Williams Jump Shot: Missed,con,field_goal_attempt,135,102,two_pointer,1,0,0,16.92010638264429
3,00:13.7,52,65,[CON] Banham 3pt Shot: Missed,con,field_goal_attempt,-119,236,three_pointer,1,0,0,26.430474834932497
3,00:11.7,52,65,[CON] Team Turnover : Shot Clock Turnover,con,turnover,-126,221,NA,0,0,0,25.43953615929347
3,00:01.0,52,65,[LAS] Walker Layup Shot: Missed Block: Tuck (2 BLK),las,field_goal_attempt,-67,22,two_pointer,1,0,0,7.051950084905593
4,09:52,52,65,[LAS] Brown Turnover : 3 Second Violation (3 TO),las,turnover,-6,29,NA,0,0,0,2.9614185789921694
4,09:34,52,67,[CON 67-52] Jones Turnaround Hook Shot: Made (2 PTS) Assist: Tuck (1 AST),con,field_goal_attempt,71,43,two_pointer,0,1,0,8.300602387778852
