"","match_id.x","tournament","year","winner_name","loser_name","winner_rank","loser_rank","winner_age","winner_ioc","Retirement","w_pointswon","w_gameswon","w_setswon","l_pointswon","l_gameswon","l_setswon","round","a1","a2","match_id.y","player1","player2","Tour","slam","week","w_ave_serve_speed","l_ave_serve_speed","w_n_aces","l_n_aces","w_n_winners","l_n_winners","w_n_netpt_w","l_n_netpt_w","w_n_netpt","l_n_netpt","w_n_bp_w","l_n_bp_w","w_n_bp","l_n_bp","w_n_ue","l_n_ue","w_n_sv_w","l_n_sv_w","w_n_sv","l_n_sv"
"2352","2017-520:149","French Open",2017,"Lesia Tsurenko","Ekaterina Makarova",42,40,27.9972621492,"UKR",FALSE,58,12,2,37,4,0,"R64","Ekaterina Makarova","Lesia Tsurenko","2017-frenchopen-2201","Ekaterina Makarova","Lesia Tsurenko","wta","frenchopen","Week 1",0,0,0,0,17,10,5,5,7,7,5,1,6,3,14,27,34,14,57,38
"2353","2017-520:15","French Open",2017,"Jeremy Chardy","Radu Albot",74,88,30.2915811088,"FRA",FALSE,105,19,3,87,12,0,"R128","Jeremy Chardy","Radu Albot","2017-frenchopen-1115","Radu Albot","Jeremy Chardy","atp","frenchopen","Week 1",96.1145833333333,82.5625,11,1,41,12,5,5,7,7,3,0,8,2,46,25,69,60,96,96
"2354","2017-520:150","French Open",2017,"Jelena Ostapenko","Monica Puig",47,41,19.9726214921,"LAT",FALSE,66,12,2,47,5,0,"R64","Jelena Ostapenko","Monica Puig","2017-frenchopen-2202","Jelena Ostapenko","Monica Puig","wta","frenchopen","Week 1",0,0,5,3,31,11,4,4,6,6,3,0,4,3,11,14,46,28,65,48
"2355","2017-520:151","French Open",2017,"Samantha Stosur","Kirsten Flipkens",22,87,33.1635865845,"AUS",FALSE,82,13,2,61,8,0,"R64","Kirsten Flipkens","Samantha Stosur","2017-frenchopen-2203","Samantha Stosur","Kirsten Flipkens","wta","frenchopen","Week 1",91.1724137931034,79.2705882352941,1,1,33,19,10,10,18,18,3,1,11,1,16,20,43,46,58,85
"2356","2017-520:152","French Open",2017,"Bethanie Mattek Sands","Petra Kvitova",117,16,32.1834360027,"USA",FALSE,91,14,2,83,12,0,"R64","Bethanie Mattek Sands","Petra Kvitova","2017-frenchopen-2204","Bethanie Mattek Sands","Petra Kvitova","wta","frenchopen","Week 1",85.010989010989,76,3,4,30,34,16,16,23,23,4,4,6,14,15,25,55,47,91,83
"2357","2017-520:153","French Open",2017,"Caroline Wozniacki","Francoise Abanda",12,195,26.8829568789,"DEN",FALSE,54,12,2,22,0,0,"R64","Caroline Wozniacki","Francoise Abanda","2017-frenchopen-2205","Caroline Wozniacki","Francoise Abanda","wta","frenchopen","Week 1",80.9705882352941,76.7619047619048,1,1,16,7,6,6,8,8,6,0,8,1,9,30,26,14,34,42
"2358","2017-520:155","French Open",2017,"Shuai Zhang","Aliaksandra Sasnovich",34,98,28.3504449008,"CHN",FALSE,93,16,2,78,11,1,"R64","Aliaksandra Sasnovich","Shuai Zhang","2017-frenchopen-2207","Shuai Zhang","Aliaksandra Sasnovich","wta","frenchopen","Week 1",0,0,4,0,20,30,6,6,11,11,6,4,10,7,21,34,55,39,94,77
"2359","2017-520:156","French Open",2017,"Svetlana Kuznetsova","Oceane Dodin",9,56,31.9206023272,"RUS",FALSE,113,18,2,110,16,1,"R64","Oceane Dodin","Svetlana Kuznetsova","2017-frenchopen-2208","Oceane Dodin","Svetlana Kuznetsova","wta","frenchopen","Week 1",79.6106194690265,83.2090909090909,6,3,27,52,13,13,22,22,9,9,13,16,17,56,56,53,113,110
"2360","2017-520:158","French Open",2017,"Yulia Putintseva","Johanna Larsson",29,59,22.3901437372,"KAZ",FALSE,90,13,2,91,12,1,"R64","Johanna Larsson","Yulia Putintseva","2017-frenchopen-2210","Johanna Larsson","Yulia Putintseva","wta","frenchopen","Week 1",74.6355140186916,78.5,0,1,35,23,12,12,28,28,3,3,8,9,36,27,62,46,107,74
"2361","2017-520:159","French Open",2017,"Shelby Rogers","Cagla Buyukakcay",49,155,24.6242299795,"USA",FALSE,83,13,2,75,10,0,"R64","Cagla Buyukakcay","Shelby Rogers","2017-frenchopen-2211","Cagla Buyukakcay","Shelby Rogers","wta","frenchopen","Week 1",0,0,2,0,38,25,5,5,7,7,5,4,12,8,24,17,42,42,75,83
"2362","2017-520:160","French Open",2017,"Kristina Mladenovic","Sara Errani",14,91,24.0410677618,"FRA",FALSE,65,12,2,51,5,0,"R64","Kristina Mladenovic","Sara Errani","2017-frenchopen-2212","Sara Errani","Kristina Mladenovic","wta","frenchopen","Week 1",80.1384615384615,68.4509803921569,1,0,31,8,2,2,4,4,5,2,9,6,24,12,38,24,65,51
"2363","2017-520:161","French Open",2017,"Venus Williams","Kurumi Nara",11,90,36.9472963723,"USA",FALSE,74,12,2,47,4,0,"R64","Kurumi Nara","Venus Williams","2017-frenchopen-2213","Venus Williams","Kurumi Nara","wta","frenchopen","Week 1",73.2586206896552,69.3174603174603,2,0,30,6,12,12,18,18,5,1,14,3,30,17,37,26,58,63
"2364","2017-520:162","French Open",2017,"Elise Mertens","Richel Hogenkamp",60,105,21.53045859,"BEL",FALSE,71,12,2,59,7,0,"R64","Elise Mertens","Richel Hogenkamp","2017-frenchopen-2214","Richel Hogenkamp","Elise Mertens","wta","frenchopen","Week 1",71.258064516129,68.5441176470588,2,1,26,22,13,13,16,16,5,2,7,5,24,22,38,35,62,68
"2365","2017-520:163","French Open",2017,"Timea Bacsinszky","Madison Brengle",31,82,27.9726214921,"SUI",FALSE,65,12,2,40,2,0,"R64","Madison Brengle","Timea Bacsinszky","2017-frenchopen-2215","Timea Bacsinszky","Madison Brengle","wta","frenchopen","Week 1",77.4259259259259,70.3921568627451,0,0,24,7,14,14,16,16,5,0,11,8,24,20,36,22,54,51
"2366","2017-520:164","French Open",2017,"Ons Jabeur","Dominika Cibulkova",114,7,22.7515400411,"TUN",FALSE,68,12,2,52,7,0,"R64","Dominika Cibulkova","Ons Jabeur","2017-frenchopen-2216","Ons Jabeur","Dominika Cibulkova","wta","frenchopen","Week 1",70.6326530612245,80.1830985915493,3,0,30,13,4,4,4,4,4,1,9,2,17,18,35,38,49,71
"2367","2017-520:165","French Open",2017,"Elina Svitolina","Tsvetana Pironkova",6,77,22.7104722793,"UKR",FALSE,82,15,2,70,11,1,"R64","Elina Svitolina","Tsvetana Pironkova","2017-frenchopen-2217","Elina Svitolina","Tsvetana Pironkova","wta","frenchopen","Week 1",72.0277777777778,77.0375,1,2,32,25,7,7,12,12,7,5,10,7,28,26,42,40,72,80
"2368","2017-520:166","French Open",2017,"Magda Linette","Ana Konjuh",94,30,25.2922655715,"POL",FALSE,61,13,2,42,5,0,"R64","Ana Konjuh","Magda Linette","2017-frenchopen-2218","Magda Linette","Ana Konjuh","wta","frenchopen","Week 1",0,0,2,3,11,21,0,0,3,3,6,2,6,2,6,40,30,23,49,54
"2369","2017-520:167","French Open",2017,"Anastasija Sevastova","Eugenie Bouchard",19,57,27.1266255989,"LAT",FALSE,59,12,2,33,3,0,"R64","Anastasija Sevastova","Eugenie Bouchard","2017-frenchopen-2219","Anastasija Sevastova","Eugenie Bouchard","wta","frenchopen","Week 1",67.8723404255319,78.7777777777778,2,1,21,10,1,1,2,2,7,2,9,4,11,22,28,14,47,45
"2370","2017-520:168","French Open",2017,"Petra Martic","Madison Keys",290,13,26.3572895277,"CRO",FALSE,84,15,2,70,10,1,"R64","Madison Keys","Petra Martic","2017-frenchopen-2220","Petra Martic","Madison Keys","wta","frenchopen","Week 1",70.2941176470588,69.5348837209302,1,4,13,28,5,5,10,10,6,3,15,6,20,51,42,44,68,86
"2371","2017-520:169","French Open",2017,"Elena Vesnina","Varvara Lepchenko",15,68,30.8254620123,"RUS",FALSE,94,16,2,76,9,1,"R64","Elena Vesnina","Varvara Lepchenko","2017-frenchopen-2221","Elena Vesnina","Varvara Lepchenko","wta","frenchopen","Week 1",0,0,3,3,21,24,2,2,3,3,5,2,6,8,26,23,57,43,90,80
"2372","2017-520:17","French Open",2017,"Stan Wawrinka","Jozef Kovalik",3,152,32.1697467488,"SUI",FALSE,106,19,3,84,11,0,"R128","Jozef Kovalik","Stan Wawrinka","2017-frenchopen-1117","Stan Wawrinka","Jozef Kovalik","atp","frenchopen","Week 1",81.3775510204082,90.6195652173913,2,6,38,23,15,15,20,20,4,1,11,7,33,28,68,54,98,92
"2373","2017-520:170","French Open",2017,"Carla Suarez Navarro","Sorana Cirstea",23,64,28.733744011,"ESP",FALSE,79,13,2,64,9,0,"R64","Carla Suarez Navarro","Sorana Cirstea","2017-frenchopen-2222","Sorana Cirstea","Carla Suarez Navarro","wta","frenchopen","Week 1",78.0972222222222,75.4507042253521,0,1,19,18,5,5,8,8,6,4,7,9,24,43,43,35,72,71
"2374","2017-520:172","French Open",2017,"Simona Halep","Tatjana Maria",4,102,25.6700889802,"ROU",FALSE,70,12,2,62,7,0,"R64","Simona Halep","Tatjana Maria","2017-frenchopen-2224","Tatjana Maria","Simona Halep","wta","frenchopen","Week 1",70.4307692307692,74.1044776119403,1,1,23,18,7,7,12,12,5,2,10,7,19,24,38,35,65,67
"2375","2017-520:173","French Open",2017,"Su Wei Hsieh","Taylor Townsend",109,121,31.3976728268,"TPE",FALSE,86,14,2,72,9,1,"R64","Su Wei Hsieh","Taylor Townsend","2017-frenchopen-2225","Su Wei Hsieh","Taylor Townsend","wta","frenchopen","Week 1",0,0,2,1,23,26,5,5,7,7,7,5,14,7,23,40,44,33,83,75
"2376","2017-520:174","French Open",2017,"Caroline Garcia","Chloe Paquet",27,260,23.6167008898,"FRA",FALSE,83,13,2,72,9,0,"R64","Caroline Garcia","Chloe Paquet","2017-frenchopen-2226","Chloe Paquet","Caroline Garcia","wta","frenchopen","Week 1",73.304347826087,70.453488372093,3,4,26,19,2,2,3,3,4,2,9,3,30,27,44,47,69,86
"2377","2017-520:176","French Open",2017,"Agnieszka Radwanska","Alison Van Uytvanck",10,113,28.2299794661,"POL",FALSE,100,18,2,89,12,1,"R64","Agnieszka Radwanska","Alison Van Uytvanck","2017-frenchopen-2228","Alison Van Uytvanck","Agnieszka Radwanska","wta","frenchopen","Week 1",74.6153846153846,77.3265306122449,1,4,18,46,14,14,18,18,6,2,9,7,16,45,59,57,91,98
"2378","2017-520:177","French Open",2017,"Veronica Cepede Royg","Anastasia Pavlyuchenkova",97,17,25.3524982888,"PAR",FALSE,98,15,2,108,16,1,"R64","Anastasia Pavlyuchenkova","Veronica Cepede Royg","2017-frenchopen-2229","Anastasia Pavlyuchenkova","Veronica Cepede Royg","wta","frenchopen","Week 1",82.640350877193,92.8260869565217,2,4,27,49,9,9,12,12,6,7,10,22,19,35,58,52,114,92
