shot_x,shot_y,shot_distance,is_shot_made,period,shot_type
90,204,22,FALSE,4,2PT Field Goal
149,231,27,TRUE,4,3PT Field Goal
-223,114,25,FALSE,4,3PT Field Goal
-19,5,1,TRUE,4,2PT Field Goal
103,236,25,FALSE,4,3PT Field Goal
-226,-10,22,FALSE,4,3PT Field Goal
-32,84,8,FALSE,1,2PT Field Goal
-232,57,23,TRUE,1,3PT Field Goal
-230,99,25,FALSE,1,3PT Field Goal
227,99,24,FALSE,1,3PT Field Goal
128,222,25,FALSE,2,3PT Field Goal
-5,17,1,FALSE,2,2PT Field Goal
-9,275,27,TRUE,2,3PT Field Goal
174,191,25,FALSE,2,3PT Field Goal
86,45,9,TRUE,2,2PT Field Goal
0,26,2,FALSE,2,2PT Field Goal
166,217,27,TRUE,2,3PT Field Goal
3,22,2,TRUE,2,2PT Field Goal
193,94,21,FALSE,3,2PT Field Goal
-192,195,27,FALSE,3,3PT Field Goal
-4,73,7,FALSE,3,2PT Field Goal
171,215,27,FALSE,3,3PT Field Goal
103,260,27,FALSE,4,3PT Field Goal
89,266,28,FALSE,4,3PT Field Goal
-179,193,26,FALSE,4,3PT Field Goal
-19,13,2,TRUE,1,2PT Field Goal
176,-2,17,TRUE,1,2PT Field Goal
-2,278,27,FALSE,1,3PT Field Goal
-205,150,25,FALSE,1,3PT Field Goal
-188,198,27,TRUE,2,3PT Field Goal
-172,190,25,FALSE,2,3PT Field Goal
-8,16,1,TRUE,2,2PT Field Goal
23,17,2,TRUE,2,2PT Field Goal
160,206,26,FALSE,2,3PT Field Goal
168,221,27,TRUE,3,3PT Field Goal
212,153,26,TRUE,3,3PT Field Goal
124,254,28,TRUE,3,3PT Field Goal
165,231,28,FALSE,3,3PT Field Goal
-52,117,12,TRUE,3,2PT Field Goal
-8,300,30,FALSE,3,3PT Field Goal
228,52,23,TRUE,3,3PT Field Goal
-3,4,0,TRUE,1,2PT Field Goal
