pitch_type,release_speed,release_spin_rate,plate_x,plate_z,type,balls,strikes,events
FF,96.4,2419,0.5207,2.2156,S,0,0,NA
FF,97.7,2338,-0.4892,3.1602,S,2,2,strikeout
FF,98,2403,0.5699,2.791,S,2,1,NA
CU,85.5,2631,1.1152,1.4781,B,1,1,NA
FF,96.6,2320,-0.1919,2.9848,S,1,0,NA
FF,96.6,2303,0.6834,1.6255,B,0,0,NA
SL,90.9,2539,0.172,1.9703,X,2,0,field_out
SL,91.4,2631,1.2024,1.8171,B,1,0,NA
SL,91.9,2477,1.0519,1.4647,B,0,0,NA
SL,91.9,2576,-0.6074,2.481,S,1,2,strikeout
CH,87.9,1633,-1.5619,2.5364,B,0,2,NA
CH,88.9,1651,0.0279,1.2951,S,0,1,NA
FF,96.5,2433,1.1476,3.7612,S,0,0,NA
SL,90.9,2416,-0.1741,2.7019,X,1,2,single
CH,89.8,1704,-0.3325,0.5131,S,1,1,NA
FF,97.5,2524,1.4823,1.4506,B,0,1,NA
SL,90.9,2512,0.6953,2.2693,S,0,0,NA
FF,97.1,2431,0.8816,2.2035,X,2,2,field_out
CU,85.2,2659,1.648,0.3772,B,1,2,NA
FF,96.6,2401,0.9395,2.8412,S,1,2,NA
CH,88.5,1628,-0.4771,1.8969,S,1,1,NA
FF,96,2401,1.0737,0.8155,B,0,1,NA
SL,89.7,2382,0.4646,1.828,S,0,0,NA
SL,89.9,2383,0.5135,2.8566,X,1,1,field_out
FF,95.7,2395,1.3227,3.4728,B,0,1,NA
CU,82.8,2442,0.2775,1.8618,S,0,0,NA
SL,91,2376,0.3008,2.4605,X,0,0,double
FF,96.4,2418,0.5223,3.3382,X,1,0,field_out
CH,88.2,1737,-0.5321,3.5758,B,0,0,NA
SL,92,2536,-0.3984,2.7279,S,2,2,strikeout
CH,86.7,1602,-0.719,2.4229,S,2,1,NA
FF,94.9,2434,-0.0963,3.7599,B,1,1,NA
FF,94.6,2414,0.6409,4.1281,B,0,1,NA
CU,78.9,2590,0.045,2.1982,S,0,0,NA
FF,96.5,2486,0.1018,3.432,S,1,2,strikeout
FF,95.9,2462,-0.8526,2.8627,S,1,1,NA
FF,96.2,2476,-0.3166,3.182,S,1,0,NA
CU,84.1,2775,1.8784,0.073,B,0,0,NA
FT,96.9,2416,0.7331,2.2604,S,2,2,strikeout
FT,96,2503,1.347,1.7049,B,1,2,NA
FF,97.3,2456,-0.0272,2.1341,S,1,2,NA
SL,91,2677,0.9742,0.8049,S,1,1,NA
FF,95.9,2385,0.3903,1.7864,S,1,0,NA
FF,95.4,2406,1.4712,1.9922,B,0,0,NA
SL,91.1,2624,-0.2138,2.7692,X,2,1,field_out
CH,87,1512,-1.3991,2.1337,B,1,1,NA
FF,95.6,2421,1.4168,2.5131,B,0,1,NA
CU,81,2574,0.4537,1.9272,S,0,0,NA
FF,96.3,2249,0.4049,2.4195,X,2,1,field_out
CH,87.1,1665,0.0335,2.3881,S,2,0,NA
,NA,NA,NA,NA,B,1,0,NA
CH,87.3,1640,-1.7665,2.6139,B,0,0,NA
FF,95.7,2376,0.8343,2.8265,S,0,2,strikeout
CH,87.6,1624,-0.5984,2.1162,S,0,1,NA
FF,96.6,2433,0.4643,2.405,S,0,0,NA
SL,92.3,2431,-0.4113,1.5178,S,2,2,strikeout
CH,89,1618,0.1775,0.5251,B,1,2,NA
SL,91.3,2400,1.6473,1.0626,B,0,2,NA
FF,96,2415,0.3083,3.403,S,0,1,NA
FF,95.8,2392,0.5993,3.4761,S,0,0,NA
SL,90.1,2607,1.5828,1.989,B,3,2,walk
FF,96.5,2375,-0.0343,3.3576,S,3,2,NA
FF,96.3,2368,0.6261,1.325,B,2,2,NA
SL,88.6,2595,0.1507,2.3004,S,2,2,NA
SL,88.3,2551,1.9924,1.6265,B,1,2,NA
SL,88.7,2451,1.081,1.3233,B,0,2,NA
SL,89.6,2539,0.8187,1.6732,S,0,1,NA
SL,89.6,2491,0.807,1.5272,S,0,0,NA
FF,97.2,2373,0.1644,2.6485,X,0,0,field_out
FT,96.3,2303,0.1366,1.9647,X,1,0,home_run
SL,90.9,2568,1.1038,1.538,B,0,0,NA
SL,90.8,2416,0.087,1.9094,X,1,1,sac_fly
FF,97.3,2464,1.0153,1.6951,B,0,1,NA
SL,91.3,2517,0.9661,1.4211,S,0,0,NA
FF,97,2438,1.0748,1.4262,X,0,0,single
FF,97,2473,-0.1565,2.3792,X,0,2,single
FF,96.6,2400,1.2113,2.8004,S,0,1,NA
CH,89.8,1726,-1.3641,2.5351,S,0,0,NA
SL,91.9,2544,-0.3396,2.1663,S,2,2,strikeout
FF,96.4,2299,1.1278,3.1495,S,2,2,NA
SL,91.3,2394,-1.2438,2.2022,B,1,2,NA
FF,96.7,2334,1.5488,3.7269,B,0,2,NA
FF,95.2,2411,-0.0582,3.7264,S,0,1,NA
FF,95.4,2300,0.3962,2.2199,S,0,0,NA
SL,91.3,2604,1.1967,1.3634,S,1,2,strikeout
SL,91.3,2585,2.8432,0.9863,B,0,2,NA
FF,96.7,2391,0.8909,2.9916,S,0,2,NA
FF,96,2396,-0.6928,2.3691,S,0,1,NA
FF,95.8,2391,0.6309,2.6036,S,0,0,NA
FF,97,2434,-0.6014,2.2381,S,1,2,strikeout
SL,91.3,2583,0.3968,2.913,S,1,1,NA
FF,96.4,2474,1.1909,3.7181,B,0,1,NA
FF,97.3,2420,0.4278,3.13,S,0,0,NA
FF,97.3,2552,0.826,3.3993,S,0,2,strikeout
FF,96.5,2420,0.5763,2.9867,S,0,1,NA
FF,95.5,2412,0.7119,2.2947,S,0,0,NA
SL,91.8,2521,0.7924,2.438,X,2,2,field_out
FF,97,2378,0.6561,2.7378,S,2,2,NA
FF,97.7,2350,0.2528,1.7264,S,2,1,NA
SL,91.8,2578,1.6819,2.8196,B,1,1,NA
FF,97.8,2423,-0.5481,2.6376,S,1,0,NA
SL,92.1,2527,1.0963,1.7803,B,0,0,NA
SL,92.9,2653,0.56,1.3519,S,0,2,strikeout
FF,97.2,2349,-0.2654,2.3403,S,0,1,NA
FF,97.5,2421,0.3416,2.4695,S,0,0,NA
SL,90.7,2648,1.2074,2.0432,S,3,2,strikeout
SL,91.3,2615,1.949,1.1647,B,2,2,NA
SL,91.3,2459,1.0293,2.0679,B,1,2,NA
FF,96.8,2391,0.0969,2.4543,S,1,2,NA
SL,91,2620,0.712,2.2997,S,1,2,NA
