year,league,team_id,team_name,win_world_series,final_rank,games_played,wins,losses,runs_scored,hits,at_bats,walks,strikeouts,homeruns,hit_by_pitch,sacrifice_flies,runs_allowed,hits_allowed,walks_allowed,strikeouts_against,homeruns_allowed
1884,NL,PHI,Philadelphia Quakers,N,6,113,39,73,549,934,3998,209,512,14,NA,NA,824,1090,254,411,37
1884,UA,PHU,Philadelphia Keystones,NA,8,67,21,46,414,618,2518,103,405,7,NA,NA,545,726,105,310,7
1884,NL,PRO,Providence Grays,Y,1,114,84,28,665,987,4093,300,469,21,NA,NA,388,825,172,639,26
1884,AA,PT1,Pittsburg Alleghenys,N,11,110,30,78,406,777,3689,143,411,2,41,NA,725,1059,216,338,25
1884,AA,RIC,Richmond Virginians,N,10,45,12,30,194,326,1469,53,282,7,24,NA,294,402,52,167,14
1884,AA,SL4,St. Louis Browns,N,4,110,67,40,658,987,3952,172,339,11,39,NA,539,881,172,477,16
1884,UA,SLU,St. Louis Maroons,NA,1,113,94,19,887,1251,4285,181,542,32,NA,NA,429,838,110,550,9
1884,UA,SPU,St. Paul White Caps,NA,9,9,2,6,24,49,272,7,47,0,NA,NA,57,72,27,44,1
1884,AA,TL1,Toledo Blue Stockings,N,8,109,46,58,463,859,3712,157,545,8,26,NA,571,885,169,501,12
1884,UA,WIL,Wilmington Quicksteps,NA,12,17,2,16,35,91,521,22,123,2,NA,NA,114,165,18,113,4
1884,AA,WS7,Washington Nationals,N,13,63,12,51,248,434,2166,100,377,6,16,NA,481,644,110,235,21
1884,UA,WSU,Washington Nationals,NA,7,112,47,65,572,931,3926,118,558,4,NA,NA,679,992,168,684,16
1885,NL,BFN,Buffalo Bisons,N,7,112,38,74,495,980,3900,179,380,23,NA,NA,761,1175,234,320,31
1885,AA,BL2,Baltimore Orioles,N,8,110,41,68,541,837,3820,279,529,17,42,NA,683,1059,222,395,12
1885,AA,BR3,Brooklyn Grays,N,5,112,53,59,624,966,3943,238,324,14,42,NA,650,955,211,436,27
1885,NL,BSN,Boston Beaneaters,N,5,113,46,66,528,915,3950,190,522,22,NA,NA,589,1045,188,480,26
1885,NL,CHN,Chicago White Stockings,N,1,113,87,25,834,1079,4093,340,429,54,NA,NA,470,868,202,458,37
1885,AA,CN2,Cincinnati Red Stockings,N,2,112,63,49,642,1046,4050,153,420,26,51,NA,575,998,250,330,24
1885,NL,DTN,Detroit Wolverines,N,6,108,41,67,514,917,3773,216,451,25,NA,NA,582,966,224,475,18
1885,AA,LS2,Louisville Colonels,N,6,112,53,59,564,986,3969,152,448,19,25,NA,598,927,217,462,13
1885,NL,NY1,New York Giants,N,2,112,85,27,691,1085,4029,221,312,16,NA,NA,370,758,265,516,11
1885,AA,NY4,New York Metropolitans,N,7,108,44,64,526,921,3731,217,428,21,35,NA,688,1015,204,408,36
1885,AA,PH4,Philadelphia Athletics,N,4,113,55,57,764,1099,4142,223,410,30,45,NA,691,1038,212,506,11
1885,NL,PHI,Philadelphia Quakers,N,3,111,56,54,513,891,3893,220,401,20,NA,NA,511,860,218,378,18
1885,NL,PRO,Providence Grays,N,4,110,53,57,442,820,3727,265,430,6,NA,NA,531,912,235,371,18
1885,AA,PT1,Pittsburg Alleghenys,N,3,111,56,55,547,955,3975,189,537,5,44,NA,539,918,201,454,14
1885,AA,SL4,St. Louis Browns,N,1,112,79,33,677,979,3972,234,282,17,49,NA,461,879,168,378,12
1885,NL,SL5,St. Louis Maroons,N,8,111,36,72,390,829,3758,214,412,8,NA,NA,593,935,278,337,15
1886,AA,BL2,Baltimore Orioles,N,8,139,48,83,625,945,4639,379,603,8,36,NA,878,1197,403,805,25
1886,AA,BR3,Brooklyn Grays,N,3,141,76,61,832,1261,5053,433,523,16,18,NA,832,1202,464,540,17
1886,NL,BSN,Boston Beaneaters,N,5,118,56,61,657,1085,4180,250,537,24,NA,NA,661,1049,298,511,33
1886,NL,CHN,Chicago White Stockings,N,1,126,90,34,900,1223,4378,460,513,53,NA,NA,555,988,262,647,49
1886,AA,CN2,Cincinnati Red Stockings,N,5,141,65,73,883,1225,4915,374,633,45,65,NA,865,1267,481,495,25
1886,NL,DTN,Detroit Wolverines,N,2,126,87,36,829,1260,4501,374,426,53,NA,NA,538,995,270,592,20
1886,NL,KCN,Kansas City Cowboys,N,7,123,30,91,494,967,4236,269,608,19,NA,NA,872,1345,246,442,27
1886,AA,LS2,Louisville Colonels,N,4,138,66,70,833,1294,4921,410,558,20,26,NA,805,1109,432,720,16
1886,NL,NY1,New York Giants,N,3,124,75,44,692,1156,4298,237,410,21,NA,NA,558,1029,280,588,23
1886,AA,NY4,New York Metropolitans,N,7,137,53,82,628,1047,4683,330,578,18,33,NA,766,1148,386,559,23
1886,AA,PH4,Philadelphia Athletics,N,6,139,63,72,772,1142,4856,378,697,21,41,NA,942,1309,388,513,35
1886,NL,PHI,Philadelphia Quakers,N,4,119,71,43,621,976,4072,282,516,26,NA,NA,498,923,264,540,29
1886,AA,PT1,Pittsburg Alleghenys,N,2,140,80,57,810,1171,4854,478,713,16,38,NA,647,1130,299,515,10
1886,AA,SL4,St. Louis Browns,Y,1,139,93,46,944,1365,5009,400,425,20,52,NA,592,1087,329,583,13
1886,NL,SL5,St. Louis Maroons,N,6,126,43,79,547,1001,4250,235,656,30,NA,NA,712,1050,392,501,34
1886,NL,WS8,Washington Nationals,N,8,122,28,92,445,856,4082,265,582,23,NA,NA,791,1147,379,500,34
1887,AA,BL2,Baltimore Orioles,N,3,141,77,58,975,1337,4825,469,337,31,68,NA,861,1288,418,470,16
1887,AA,BR3,Brooklyn Grays,N,6,138,60,74,904,1281,4913,456,357,25,51,NA,918,1348,454,332,27
1887,NL,BSN,Boston Beaneaters,N,5,127,61,60,834,1255,4531,340,392,53,37,NA,792,1226,396,254,55
1887,NL,CHN,Chicago White Stockings,N,3,127,71,50,813,1177,4350,407,400,80,20,NA,716,1156,338,510,55
1887,AA,CL3,Cleveland Blues,N,8,133,39,92,729,1170,4649,375,486,14,46,NA,1112,1472,533,332,34
1887,AA,CN2,Cincinnati Red Stockings,N,2,135,81,54,892,1285,4797,382,379,37,56,NA,745,1202,396,330,28
1887,NL,DTN,Detroit Wolverines,Y,1,127,79,45,969,1404,4689,352,258,55,38,NA,710,1172,344,337,52
1887,NL,IN3,Indianapolis Hoosiers,N,8,127,37,89,628,1080,4368,300,379,33,44,NA,965,1289,431,245,60
1887,AA,LS2,Louisville Colonels,N,4,137,76,60,956,1420,4916,436,367,27,40,NA,854,1274,357,544,31
1887,NL,NY1,New York Giants,N,4,129,68,55,816,1259,4516,361,326,48,47,NA,723,1096,373,415,27
1887,AA,NY4,New York Metropolitans,N,7,138,44,89,754,1197,4821,439,456,21,50,NA,1093,1545,406,316,39
1887,AA,PH4,Philadelphia Athletics,N,5,137,64,69,893,1370,4954,321,379,29,51,NA,890,1227,433,417,29
