player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Duncan Robinson,PF,24,MIA,15,1,161,18,46,10,35,8,11,4,6,2,17,5,5,0,4,11
Glenn Robinson,SF,25,DET,47,18,610,74,176,18,62,56,114,32,40,17,54,21,14,8,18,45
Jerome Robinson,SG,21,LAC,33,0,320,44,110,18,57,26,53,6,9,3,38,19,11,3,13,46
Mitchell Robinson,C,20,NYK,66,19,1360,202,291,0,0,202,291,81,135,177,246,37,52,161,35,217
Rajon Rondo,PG,32,LAL,46,29,1369,175,432,51,142,124,290,23,36,34,209,367,57,7,127,100
Derrick Rose,PG,30,MIN,51,13,1392,363,753,54,146,309,607,137,160,33,107,220,31,12,82,57
Terrence Ross,SG,27,ORL,81,0,2150,440,1027,217,566,223,461,126,144,27,253,135,72,29,90,119
Terry Rozier,PG,24,BOS,79,14,1791,258,666,119,337,139,329,73,93,32,275,231,68,21,68,101
Ricky Rubio,PG,28,UTA,68,67,1899,295,730,79,254,216,476,195,228,33,210,416,91,10,180,180
D'Angelo Russell,PG,22,BRK,81,81,2448,659,1517,234,635,425,882,160,205,53,262,563,100,20,253,141
Domantas Sabonis,C,22,IND,74,5,1838,413,700,9,17,404,683,208,291,186,504,212,48,30,160,239
Brandon Sampson,SG,21,CHI,14,2,214,28,60,11,29,17,31,4,6,3,13,10,8,3,12,19
JaKarr Sampson,SF,25,CHI,4,0,127,29,54,5,14,24,40,17,21,5,27,4,4,3,4,8
Dario Saric,PF,24,TOT,81,41,2023,304,696,118,323,186,373,132,150,126,331,127,45,9,97,182
Dario Saric,PF,24,PHI,13,13,396,48,132,21,70,27,62,27,30,21,65,26,4,3,25,39
Dario Saric,PF,24,MIN,68,28,1627,256,564,97,253,159,311,105,120,105,266,101,41,6,72,143
Tomas Satoransky,PG,27,WAS,80,54,2164,257,530,64,162,193,368,131,160,82,197,399,82,13,120,172
Dennis Schroder,PG,25,OKC,79,14,2314,457,1104,124,364,333,740,186,227,38,246,323,65,12,172,189
Mike Scott,PF,30,TOT,79,3,1395,168,420,101,252,67,168,22,33,43,233,66,26,13,44,156
Mike Scott,PF,30,LAC,52,0,748,92,230,52,133,40,97,12,18,24,150,44,17,8,27,88
Mike Scott,PF,30,PHI,27,3,647,76,190,49,119,27,71,10,15,19,83,22,9,5,17,68
Thabo Sefolosha,SF,34,UTA,50,2,609,71,149,34,78,37,71,14,22,8,115,27,43,5,25,41
Wayne Selden,SG,24,TOT,75,13,1439,196,483,55,174,141,309,67,92,37,143,109,33,13,79,131
Wayne Selden,SG,24,MEM,32,0,455,65,161,20,63,45,98,22,29,16,28,36,10,6,23,48
Wayne Selden,SG,24,CHI,43,13,984,131,322,35,111,96,211,45,63,21,115,73,23,7,56,83
Collin Sexton,PG,20,CLE,82,72,2605,519,1206,119,296,400,910,214,255,57,179,243,44,6,185,186
Landry Shamet,SG,21,TOT,79,27,1802,240,557,167,396,73,161,75,93,21,113,117,37,10,45,155
Landry Shamet,SG,21,PHI,54,4,1108,153,347,99,245,54,102,44,54,14,64,59,24,8,26,106
Landry Shamet,SG,21,LAC,25,23,694,87,210,68,151,19,59,31,39,7,49,58,13,2,19,49
Iman Shumpert,SG,28,TOT,62,41,1481,167,446,95,273,72,173,36,45,27,156,112,59,24,50,127
Iman Shumpert,SG,28,SAC,42,40,1099,133,348,74,202,59,146,34,41,19,110,91,47,20,38,92
Iman Shumpert,SG,28,HOU,20,1,382,34,98,21,71,13,27,2,4,8,46,21,12,4,12,35
Pascal Siakam,PF,24,TOR,80,79,2548,519,945,79,214,440,731,237,302,124,425,248,73,52,154,241
Jordan Sibert,SG,26,ATL,1,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ben Simmons,PG,22,PHI,79,79,2700,540,960,0,6,540,954,257,428,172,525,610,112,61,274,209
Jonathon Simmons,SG-SF,29,TOT,56,9,1064,133,350,28,104,105,246,72,97,27,99,128,29,15,68,89
Jonathon Simmons,SG,29,ORL,41,9,845,104,286,19,83,85,203,56,72,23,77,95,18,14,56,68
Jonathon Simmons,SF,29,PHI,15,0,219,29,64,9,21,20,43,16,25,4,22,33,11,1,12,21
Kobi Simmons,PG,21,CLE,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anfernee Simons,SG,19,POR,20,1,141,28,63,10,29,18,34,9,16,3,10,13,1,0,11,9
Marcus Smart,SG,24,BOS,80,60,2200,239,567,126,346,113,221,104,129,57,177,321,143,28,123,201
Dennis Smith,PG,21,TOT,53,50,1508,278,650,67,208,211,442,99,156,32,123,252,67,20,154,129
Dennis Smith,PG,21,DAL,32,32,908,157,357,43,125,114,232,57,82,18,79,138,40,11,100,82
Dennis Smith,PG,21,NYK,21,18,600,121,293,24,83,97,210,42,74,14,44,114,27,9,54,47
Ish Smith,PG,30,DET,56,0,1251,205,489,44,135,161,354,47,62,23,122,203,28,11,61,109
J.R. Smith,SG,33,CLE,11,4,222,27,79,12,39,15,40,8,10,0,18,21,11,3,11,19
Jason Smith,PF-C,32,TOT,20,1,190,21,59,9,26,12,33,14,16,16,36,14,3,7,13,30
Jason Smith,C,32,WAS,12,1,130,15,37,4,10,11,27,10,12,11,26,12,1,5,7,21
Jason Smith,PF,32,MIL,6,0,40,4,13,3,9,1,4,2,2,3,8,1,2,2,5,6
Jason Smith,C,32,NOP,2,0,20,2,9,2,7,0,2,2,2,2,2,1,0,0,1,3
Zhaire Smith,SG,19,PHI,6,2,111,14,34,6,16,8,18,6,8,3,10,10,2,2,6,8
Tony Snell,SF,27,MIL,74,12,1304,163,361,81,204,82,157,37,42,29,128,68,26,18,23,90
Ray Spalding,PF,21,TOT,14,3,148,25,47,0,3,25,44,4,12,15,33,5,9,8,9,23
Ray Spalding,PF,21,DAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Spalding,PF,21,PHO,13,3,147,25,47,0,3,25,44,4,12,15,33,5,9,8,9,23
Omari Spellman,PF,21,ATL,46,11,805,98,244,44,128,54,116,32,45,72,122,47,26,25,31,67
Nik Stauskas,SG,25,TOT,68,0,1015,136,338,70,188,66,150,57,64,18,109,81,21,7,51,50
Nik Stauskas,SG,25,POR,44,0,673,96,229,43,125,53,104,32,36,10,70,62,14,4,40,31
Nik Stauskas,SG,25,CLE,24,0,342,40,109,27,63,13,46,25,28,8,39,19,7,3,11,19
D.J. Stephens,SG,28,MEM,1,0,7,1,2,0,0,1,2,0,0,0,0,0,1,0,1,0
Lance Stephenson,SG,28,LAL,68,3,1123,184,432,73,197,111,235,50,73,32,183,140,41,7,86,111
Edmond Sumner,PG,23,IND,23,2,210,22,64,7,27,15,37,15,24,9,15,10,12,5,10,26
Caleb Swanigan,PF,21,TOT,21,0,178,18,53,1,7,17,46,6,9,17,47,11,6,1,18,28
Caleb Swanigan,PF,21,POR,18,0,145,14,44,1,5,13,39,6,7,13,39,7,4,0,16,22
Caleb Swanigan,PF,21,SAC,3,0,33,4,9,0,2,4,7,0,2,4,8,4,2,1,2,6
Jayson Tatum,SF,20,BOS,79,79,2455,466,1036,116,311,350,725,195,228,70,407,168,84,57,122,168
Jeff Teague,PG,30,MIN,42,41,1264,176,416,35,105,141,311,123,153,16,90,343,43,18,97,90
Garrett Temple,SG,32,TOT,75,55,2040,208,493,90,264,118,229,80,107,28,188,106,76,30,70,204
Garrett Temple,SG,32,MEM,49,49,1530,166,387,74,210,92,177,57,76,18,134,69,50,25,54,134
Garrett Temple,SG,32,LAC,26,6,510,42,106,16,54,26,52,23,31,10,54,37,26,5,16,70
Milos Teodosic,PG,31,LAC,15,0,150,17,40,10,27,7,13,4,7,3,13,32,3,1,21,27
